code,cause,cause_level,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
751,Brain and nervous system cancers,3,NA,NA,17.,Brain and nervous system cancers,NA
752,Gallbladder and biliary tract cancer,3,NA,NA,18.,Gallbladder and biliary tract cancer,NA
753,Larynx cancer,3,NA,NA,19.,Larynx cancer,NA
754,Thyroid cancer,3,NA,NA,20.,Thyroid cancer,NA
755,Mesothelioma,3,NA,NA,21.,Mesothelioma,NA
760,"Lymphomas, multiple myeloma",3,NA,NA,22.,"Lymphomas, multiple myeloma",NA
761,Hodgkin lymphoma,4,NA,NA,NA,a.,Hodgkin lymphoma
762,Non-Hodgkin lymphoma,4,NA,NA,NA,b.,Non-Hodgkin lymphoma
763,Multiple myeloma,4,NA,NA,NA,c.,Multiple myeloma
770,Leukaemia,3,NA,NA,23.,Leukaemia,NA
780,Other malignant neoplasms,3,NA,NA,24.,Other malignant neoplasms,NA
790,Other neoplasms,2,NA,B.,Other neoplasms,NA,NA
800,Diabetes mellitus,2,NA,C.,Diabetes mellitus,NA,NA
810,"Endocrine, blood, immune disorders",2,NA,D.,"Endocrine, blood, immune disorders",NA,NA
811,Thalassaemias,3,NA,NA,1.,Thalassaemias,NA
812,Sickle cell disorders and trait,3,NA,NA,2.,Sickle cell disorders and trait,NA
813,Other haemoglobinopathies and haemolytic anaemias,3,NA,NA,3.,Other haemoglobinopathies and haemolytic anaemias,NA
814,"Other endocrine, blood and immune disorders",3,NA,NA,4.,"Other endocrine, blood and immune disorders",NA
820,Mental and substance use disorders,2,NA,E.,Mental and substance use disorders,NA,NA
830,Depressive disorders,3,NA,NA,1.,Depressive disorders,NA
840,Bipolar disorder,3,NA,NA,2.,Bipolar disorder,NA
850,Schizophrenia,3,NA,NA,3.,Schizophrenia,NA
860,Alcohol use disorders,3,NA,NA,4.,Alcohol use disorders,NA
870,Drug use disorders,3,NA,NA,5.,Drug use disorders,NA
871,Opioid use disorders,4,NA,NA,NA,a.,Opioid use disorders
872,Cocaine use disorders,4,NA,NA,NA,b.,Cocaine use disorders
873,Amphetamine use disorders,4,NA,NA,NA,c.,Amphetamine use disorders
874,Cannabis use disorders,4,NA,NA,NA,d.,Cannabis use disorders
875,Other drug use disorders,4,NA,NA,NA,e.,Other drug use disorders
880,Anxiety disorders,3,NA,NA,6.,Anxiety disorders,NA
890,Eating disorders,3,NA,NA,7.,Eating disorders,NA
900,Austism and Asperger syndrome,3,NA,NA,8.,Austism and Asperger syndrome,NA
910,Childhood behavioural disorders,3,NA,NA,9.,Childhood behavioural disorders,NA
911,Attention deficit/hyperactivity syndrome,4,NA,NA,NA,a.,Attention deficit/hyperactivity syndrome
912,Conduct disorder,4,NA,NA,NA,b.,Conduct disorder
920,Idiopathic intellectual disability,3,NA,NA,10.,Idiopathic intellectual disability,NA
930,Other mental and behavioural disorders,3,NA,NA,11.,Other mental and behavioural disorders,NA
940,Neurological conditions,2,NA,F.,Neurological conditions,NA,NA
950,Alzheimer disease and other dementias,3,NA,NA,1.,Alzheimer disease and other dementias,NA
960,Parkinson disease,3,NA,NA,2.,Parkinson disease,NA
970,Epilepsy,3,NA,NA,3.,Epilepsy,NA
980,Multiple sclerosis,3,NA,NA,4.,Multiple sclerosis,NA
990,Migraine,3,NA,NA,5.,Migraine,NA
1000,Non-migrane headache,3,NA,NA,6.,Non-migrane headache,NA
1010,Other neurological conditions,3,NA,NA,7.,Other neurological conditions,NA
1020,Sense organ diseases,2,NA,G.,Sense organ diseases,NA,NA
1030,Glaucoma,3,NA,NA,1.,Glaucoma,NA
1040,Cataracts,3,NA,NA,2.,Cataracts,NA
1050,Uncorrected refractive errors,3,NA,NA,3.,Uncorrected refractive errors,NA
