year,code,cause,cause_level,dalys,dalys_thousands,dalys_millions,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,total_dalys,pct_all_dalys
2000,340,Ascariasis,4,2040722.99789215,2040.72299789215,2.04072299789215,NA,NA,NA,a.,Ascariasis,2841004961.46513,7.183102548471904e-4
2000,350,Trichuriasis,4,449393.11446603,449.39311446603,0.44939311446603,NA,NA,NA,b.,Trichuriasis,2841004961.46513,1.5818103824580235e-4
2000,360,Hookworm disease,4,1720090.0124863,1720.0900124862999,1.7200900124863,NA,NA,NA,c.,Hookworm disease,2841004961.46513,6.054512525733975e-4
2000,362,Food-borne trematodes,4,870762.211532654,870.762211532654,0.870762211532654,NA,NA,NA,d.,Food-borne trematodes,2841004961.46513,3.064979552459474e-4
2000,365,Leprosy,3,39170.7331679729,39.170733167972905,0.039170733167972906,NA,NA,11.,Leprosy,NA,2841004961.46513,1.3787632791662648e-5
2000,370,Other infectious diseases,3,18220456.4769363,18220.4564769363,18.2204564769363,NA,NA,12.,Other infectious diseases,NA,2841004961.46513,0.006413384251022166
2000,380,Respiratory Infectious,2,187369100.946011,187369.100946011,187.369100946011,NA,B.,Respiratory Infectious,NA,NA,2841004961.46513,0.06595169789826175
2000,390,Lower respiratory infections,3,179603008.543654,179603.008543654,179.603008543654,NA,NA,1.,Lower respiratory infections,NA,2841004961.46513,0.06321812562095323
2000,395,COVID-19,3,0,0,0,NA,NA,2.,COVID-19,NA,2841004961.46513,0
2000,400,Upper respiratory infections,3,5488206.70805865,5488.206708058649,5.48820670805865,NA,NA,3.,Upper respiratory infections,NA,2841004961.46513,0.0019317835704265494
2000,410,Otitis media,3,2277885.69429811,2277.88569429811,2.27788569429811,NA,NA,4.,Otitis media,NA,2841004961.46513,8.017887068818724e-4
2000,420,Maternal conditions,2,26835325.729486,26835.325729486,26.835325729486,NA,C.,Maternal conditions,NA,NA,2841004961.46513,0.009445715897534653
2000,490,Neonatal conditions,2,319496402.029691,319496.402029691,319.49640202969096,NA,D.,Neonatal conditions,NA,NA,2841004961.46513,0.11245893842611385
2000,500,Preterm birth complications,3,149158427.396065,149158.427396065,149.158427396065,NA,NA,1.,Preterm birth complications,NA,2841004961.46513,0.05250199468822566
2000,510,Birth asphyxia and birth trauma,3,99855233.2791873,99855.2332791873,99.8552332791873,NA,NA,2.,Birth asphyxia and birth trauma,NA,2841004961.46513,0.03514785599941055
2000,520,Neonatal sepsis and infections,3,29951057.9445233,29951.0579445233,29.951057944523303,NA,NA,3.,Neonatal sepsis and infections,NA,2841004961.46513,0.010542416627487089
2000,530,Other neonatal conditions,3,40531683.4099162,40531.6834099162,40.5316834099162,NA,NA,4.,Other neonatal conditions,NA,2841004961.46513,0.014266671110990836
2000,540,Nutritional deficiencies,2,71227949.309581,71227.949309581,71.22794930958099,NA,E.,Nutritional deficiencies,NA,NA,2841004961.46513,0.0250713920868509
2000,550,Protein-energy malnutrition,3,32313574.1435707,32313.5741435707,32.3135741435707,NA,NA,1.,Protein-energy malnutrition,NA,2841004961.46513,0.011373994266770418
2000,560,Iodine deficiency,3,2250548.02863783,2250.54802863783,2.25054802863783,NA,NA,2.,Iodine deficiency,NA,2841004961.46513,7.92166173295665e-4
2000,570,Vitamin A deficiency,3,1820672.16634253,1820.6721663425299,1.82067216634253,NA,NA,3.,Vitamin A deficiency,NA,2841004961.46513,6.40854975981314e-4
2000,580,Iron-deficiency anaemia,3,31454248.3031241,31454.2483031241,31.4542483031241,NA,NA,4.,Iron-deficiency anaemia,NA,2841004961.46513,0.011071521778301606
2000,590,Other nutritional deficiencies,3,3388906.66790589,3388.90666790589,3.38890666790589,NA,NA,5.,Other nutritional deficiencies,NA,2841004961.46513,0.0011928548925019134
2000,600,Noncommunicable diseases,1,1309206925.79905,1309206.9257990501,1309.2069257990502,II.,Noncommunicable diseases,NA,NA,NA,2841004961.46513,0.4608252866703482
2000,610,Malignant neoplasms,2,206461363.941628,206461.36394162802,206.461363941628,NA,A.,Malignant neoplasms,NA,NA,2841004961.46513,0.07267194768824134
2000,620,Mouth and oropharynx cancers,3,8787480.19071314,8787.480190713139,8.78748019071314,NA,NA,1.,Mouth and oropharynx cancers,NA,2841004961.46513,0.0030930886464138247
2000,621,Lip and oral cavity,4,3910912.46997374,3910.9124699737404,3.91091246997374,NA,NA,NA,a.,Lip and oral cavity,2841004961.46513,0.0013765947342650362
2000,622,Nasopharynx,4,2734505.79374165,2734.50579374165,2.73450579374165,NA,NA,NA,b.,Nasopharynx,2841004961.46513,9.625135579951408e-4
2000,623,Other pharynx,4,2142061.92699776,2142.0619269977597,2.14206192699776,NA,NA,NA,c.,Other pharynx,2841004961.46513,7.539803541536516e-4
2000,630,Oesophagus cancer,3,12002496.31952,12002.49631952,12.00249631952,NA,NA,2.,Oesophagus cancer,NA,2841004961.46513,0.004224736134684613
2000,640,Stomach cancer,3,23086740.9515305,23086.7409515305,23.0867409515305,NA,NA,3.,Stomach cancer,NA,2841004961.46513,0.008126258582675785
2000,650,Colon and rectum cancers,3,16687062.3759883,16687.062375988302,16.6870623759883,NA,NA,4.,Colon and rectum cancers,NA,2841004961.46513,0.005873647741671892
2000,660,Liver cancer,3,12885634.5073614,12885.634507361401,12.8856345073614,NA,NA,5.,Liver cancer,NA,2841004961.46513,0.004535590286585129
2000,661,Liver cancer secondary to hepatitis B,4,7052860.4268357,7052.8604268357,7.0528604268357,NA,NA,NA,a.,Liver cancer secondary to hepatitis B,2841004961.46513,0.002482523093940139
2000,662,Liver cancer secondary to hepatitis C,4,2236328.5679118,2236.3285679118,2.2363285679118,NA,NA,NA,b.,Liver cancer secondary to hepatitis C,2841004961.46513,7.871610920237559e-4
2000,663,Liver cancer secondary to alcohol use,4,2141525.94899513,2141.52594899513,2.14152594899513,NA,NA,NA,c.,Liver cancer secondary to alcohol use,2841004961.46513,7.537916962632573e-4
2000,664,Other liver cancer,4,1454919.56361876,1454.91956361876,1.4549195636187602,NA,NA,NA,d.,Other liver cancer,2841004961.46513,5.121144043579727e-4
